url,label,title,all_text,comments,created_time,updated_time,closed_time
https://github.com/OpenMined/PySyft/issues/6611,"['bug ', '0.2.x']",send doesn't affect Identity layers,"send doesn't affect Identity layers## Description
Identity layers, or models composed only from Identity layers, cannot be sent to a worker. It doesn't happen if there are other types of layers in the model (for example if the model has one Linear layer and one Identity layer), so I suppose this is due to Identity layers not including any tensors.
 
## How to Reproduce
bob = sy.VirtualWorker(hook, id=""bob"")
model = nn.Sequential(nn.Identity(10),nn.Identity(10))
model.send(bob)
print(model.location)
--> None

@JosephChataignon `sy.VirtualWorker` is from 0.2.x which is no longer supported.",1,2022-06-23 15:01:20,2022-06-24 01:24:53,2022-06-24 01:24:48
https://github.com/OpenMined/PySyft/issues/6424,['bug '],pip install syft==0.6.0 raise a warning about version incompatible,"pip install syft==0.6.0 raise a warning about version incompatible# Description
When i install pysyft 0.6.0, there is a conflict in packaging version.
'pip install syft==0.6.0', raise the ERROR below:
ERROR: pip's dependency resolver does not currently take into account all the packages that are installed. This behaviour is the source of the following dependency conflicts.
statsmodels 0.13.2 requires packaging>=21.3, but you have packaging 21.2 which is incompatible.

'pip install --upgrade packaging==21.3', raise the ERROR below:
ERROR: pip's dependency resolver does not currently take into account all the packages that are installed. This behaviour is the source of the following dependency conflicts.
syft 0.6.0 requires packaging==21.2, but you have packaging 21.3 which is incompatible.

# System Information
- OS: Red Hat 4.8.5-36
- Language: Python 3.7.11We have upgraded packaging to `21.3` in `dev` and the API in `0.6` and `dev` (0.7.0) is nearly identical.",1,2022-04-27 02:40:33,2022-06-08 06:45:09,2022-06-08 06:45:09
https://github.com/OpenMined/PySyft/issues/6418,['bug '],hagrid launch network is not working,"hagrid launch network is not working## Description
I am using pysyft version 0.6.0 and trying to launch network using the below commands and getting errors.
1. hagrid launch network 
      getting below message in loop and network is not launching
      **control: authRoutine: backoff: 13265 msec**

2. hagrid launch United Nations --type network 
      getting below error message
      **Error: No such option: --type** 

3. hagrid launch United Nations --port 8085 --type network
      getting below error message
      **Error: No such option: --port**

I am trying to follow the below notebook from pysyft github notebooks-
    https://github.com/OpenMined/PySyft/blob/dev/notebooks/trade_demo/mock_notebooks/Part%201%20-%20Setup%20Use%20Case.ipynb

## System Information
 - OS: Linux (ubuntu 20.04)
 - Language Version: [e.g. Python 3.8]
Hi @pgupta07 those notebooks are pretty old and are mock notebooks, please see the more up to date docs here: https://openmined.github.io/PySyft/",1,2022-04-22 08:39:28,2022-04-30 00:12:12,2022-04-30 00:12:12
https://github.com/OpenMined/PySyft/issues/6401,['bug '],bug,"bug## Description
 No module named 'syft_proto.frameworks.torch.tensors.interpreters.v1.placeholder_pb2'

python3.7
torch1.4.0
syft0.2.3a3Syft 0.2 is no longer supported.",1,2022-04-11 06:47:57,2022-06-08 06:38:05,2022-06-08 06:38:05
https://github.com/OpenMined/PySyft/issues/6389,"['bug ', '0.5']",module 'sympc' has no attribute 'merge',"module 'sympc' has no attribute 'merge'## Description
Hi, Openmined experts,
Per to https://github.com/OpenMined/PySyft/blob/0.6.0/notebooks/trade_demo/Part%204%20-%20Perform%20JOIN%20(backed%20by%20SMPC).ipynb, 

## How to Reproduce
Run the code below,
import sympc
merged_dataset_ptr = sympc.merge(
    left=ca_filtered_dataset_ptr,
    right=it_filtered_dataset_ptr,
    on=""Commodity Code"",
    how=""inner"",
    suffixes=(""_ca"", ""_it""),
)

The following error will occurs,
AttributeError: module 'sympc' has no attribute 'merge'

I check the sourcecode from  https://github.com/OpenMined/SyMPC,  and  no method 'merge' was found. So is there anything missing from ""Part 4 - Perform JOIN (backed by SMPC).ipynb"" ? @iamtrask  Thanks!
@yuanbw 0.6 and 0.7 (dev) do not use SyMPC, instead they use a built in SMPC implementation from the same authors @gmuraru and @rasswanth-s.

@rasswanth-s what is the equivalent of `merge` in 0.7?Hi @yuanbw,
The Old Notebook was one of our Nice to have features, 

It was not fully completed, There are some example smpc examples in https://github.com/OpenMined/PySyft/tree/dev/notebooks/smpc/Training%20Demo
For the initial Training,

To work with the example you would need to launch Domain Nodes through **hagrid**,
Our current syft documentation would help you in the same 
https://openmined.github.io/PySyft/

Creating new examples notebooks for our current architecture is at the top of my `TODO` list, within one or two week , I will create good Starting notebooks for SMPC.

I am closing this issue, as the feature was not implement.
Feel to reach out to me for any questions on OM slack,
Joining link: [OM Slack](https://slack.openmined.org)
My Slack handle: `@Rasswanth`",2,2022-04-02 09:43:02,2022-06-10 06:37:54,2022-06-10 06:37:53
https://github.com/OpenMined/PySyft/issues/6355,['bug '],Did Pysyft tensor supports floats and string features?,"Did Pysyft tensor supports floats and string features?## Description
We require the dataset to be created in Syft tensor format to upload to the domian created by Hagrid. I am able to wrap only the integer feature in Syft tensor format but it is not accepting the float features. Screenshot attached.

## Screenshots
![image](https://user-images.githubusercontent.com/73330091/158108147-438c1a0f-fabc-4460-a3a0-950bad0b205c.png)

## System Information
OS: Debian GNU/Linux 10 (buster)
OS Version: 10
Language Version: Python 3.9.7
Package Manager Version: conda 4.10.1

@Crazynovatech we temporarily had an int32 limitation which as been changed now to int64. The underlying implementations of our DP, SMPC and FixedPrecision tensors require different things under the hood. You should be able to load in a normal numpy array in the latest version and it will take care of it. Can you try this with the latests code on `dev`?",1,2022-03-14 05:07:09,2022-06-08 06:30:59,2022-06-08 06:30:59
https://github.com/OpenMined/PySyft/issues/6349,['bug '],"ConnectionClosedOK: code = 1000 (OK), no reason","ConnectionClosedOK: code = 1000 (OK), no reason## Description
A clear and concise description of the bug.
In Asynchronous learning - federated - learning - on - MNIST, changed the run_websocket_client. Py the model lead to the above problems, the complete error as follows  
ConnectionClosedOK                        Traceback (most recent call last)
<ipython-input-12-edf38bb6dbe9> in async-def-wrapper()
     19         ]
     20     )
---> 21     models = {}
     22     loss_values = {}
     23 

D:\Federated Learning\PySyft\examples\tutorials\advanced\websockets-example-MNIST-parallel\run_websocket_client.py in fit_model_on_worker(worker, traced_model, batch_size, curr_round, max_nr_batches, lr)
    170     )
    171     train_config.send(worker)
--> 172     loss = await worker.async_fit(dataset_key=""mnist"", return_ids=[0])
    173     model = train_config.model_ptr.get().obj
    174     return worker.id, model, loss

D:\anaconda\lib\syft\workers\websocket_client.py in async_fit(self, dataset_key, return_ids)
    156             serialized_message = sy.serde.serialize(message)
    157             await websocket.send(str(binascii.hexlify(serialized_message)))
--> 158             await websocket.recv()  # returned value will be None, so don't care
    159 
    160         # Reopen the standard connection

D:\anaconda\lib\websockets\protocol.py in recv(self)
    507                     # Wait until the connection is closed to raise
    508                     # ConnectionClosed with the correct code and reason.
--> 509                     await self.ensure_open()
    510 
    511         # Pop a message from the queue.

D:\anaconda\lib\websockets\protocol.py in ensure_open(self)
    810             # case self.close_connection_task will complete even faster.
    811             await asyncio.shield(self.close_connection_task)
--> 812             raise self.connection_closed_exc()
    813 
    814         # Control may only reach this point in buggy third-party subclasses.

ConnectionClosedOK: code = 1000 (OK), no reason



@yigedage We no longer support these old websocket versions of Grid. I believe the libraries have changed causing issues with how these old versions run now. I can highly recommend you checkout our latest version with:
```
$ pip install hagrid
$ hagrid launch domain to docker:8081 --tag=latest
$ pip install --pre syft
```

Then checkout some of our integration tests or notebooks for examples on how to use. More docs coming shortly.",1,2022-03-09 11:54:49,2022-06-08 06:28:17,2022-06-08 06:28:17
https://github.com/OpenMined/PySyft/issues/6328,['bug '],ERROR: 'network_mode' and 'networks' cannot be combined,"ERROR: 'network_mode' and 'networks' cannot be combined## Description
When i try to start PyGrid stack following the tutorial instructions https://github.com/OpenMined/PySyft/blob/dev/packages/grid/README.md, I got the error when executing docker-compose up:

`ERROR: 'network_mode' and 'networks' cannot be combined`

My OS environment:  macOS Big Sur 11.4

## How to Reproduce

## Expected Behavior
A clear and concise description of what you expected to happen.

## Screenshots
If applicable, add screenshots to help explain your problem.

## System Information
 - OS: macOS Big Sur
 - OS Version: [e.g. 22]
 - Language Version: [e.g. Python 3.7, Node 10.18.1]
 - Package Manager Version: [e.g. Conda 4.6.1, NPM 6.14.1]
 - Browser (if applicable): [e.g. Google Chrome]
 - Browser Version (if applicable): [e.g. 81.0.4044.138]

## Additional Context
Add any other context about the problem here.
@MissiontoMars My guess is that your docker version is out of date.
Please install the latest version of `docker desktop` and enable `docker compose v2` in the settings.",1,2022-02-24 03:16:35,2022-06-08 06:21:57,2022-06-08 06:21:57
https://github.com/OpenMined/PySyft/issues/6291,['bug '],Error from the tutorials 1,"Error from the tutorials 1In first tutorial, the `sy.launch_duet` is giving a connection TimeoutError. Could you please update with the correct link?

My code- 
```
duet = sy.launch_duet(network_url=""http://ec2-18-216-8-163.us-east-2.compute.amazonaws.com:5000/"")
```

notebook link - [here](https://github.com/OpenMined/courses/blob/foundations-of-private-computation/federated-learning/duet_basics/Duet_Basics_Data_Owner.ipynb)

Error Message-
```
ConnectionError: HTTPConnectionPool(host='ec2-18-216-8-163.us-east-2.compute.amazonaws.com', port=5000): Max retries exceeded with url: //metadata (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f04988c9b20>: Failed to establish a new connection: [Errno 110] Connection timed out'))
```


I have made opened an issue here as well - [here](https://github.com/OpenMined/courses/issues/402)Building a local Duet server can help you. #5991 @VIGNESHinZONE it was fixed recently: https://github.com/OpenMined/PySyft/issues/6286",2,2022-02-11 13:19:58,2022-06-08 06:12:18,2022-06-08 06:12:18
https://github.com/OpenMined/PySyft/issues/6286,['bug '],Not able to start the duet connection,"Not able to start the duet connection## Description
Starting from a fresh installation of pysyft with pyenv, the very first time a data owner can launch a duet connection with
`import syft as sy;
duet = sy.duet(loopback=True)`

but the next times, it stucks in the following:

`🎤  🎸  ♪♪♪ Starting Duet ♫♫♫  🎻  🎹

♫♫♫ > DISCLAIMER: Duet is an experimental feature currently in beta.
♫♫♫ > Use at your own risk.


    > ❤️ Love Duet? Please consider supporting our community!
    > [https://github.com/sponsors/OpenMined]()`

without going further. Obviously, a data scientist cannot establish any connection with the data owner with `duet = sy.join_duet(loopback=True)`

After the cell is running for almost 4 minutes, this is the error popping up:

```
Exception                                 Traceback (most recent call last)
/var/folders/f5/1fpy821d4cv783czwrb2m2fr0000gp/T/ipykernel_6819/4282418770.py in <module>
      1 import syft as sy
----> 2 duet = sy.duet(loopback=True)

~/.pyenv/versions/3.7.4/envs/openmined-pysyft/lib/python3.7/site-packages/syft/grid/duet/__init__.py in duet(target_id, logging, network_url, loopback, db_path)
    163     else:
    164         return launch_duet(
--> 165             logging=logging, network_url=network_url, loopback=loopback, db_path=db_path
    166         )
    167 

~/.pyenv/versions/3.7.4/envs/openmined-pysyft/lib/python3.7/site-packages/syft/grid/duet/__init__.py in launch_duet(logging, network_url, loopback, credential_exchanger, db_path)
    198 
    199     if not network_url:
--> 200         network_url = get_available_network()
    201     info(""♫♫♫ > Punching through firewall to OpenGrid Network Node at:"", print=True)
    202     info(""♫♫♫ > "" + str(network_url), print=True)

~/.pyenv/versions/3.7.4/envs/openmined-pysyft/lib/python3.7/site-packages/syft/grid/duet/__init__.py in get_available_network()
     60             error(f""Failed request addr: {e}"")
     61             continue
---> 62     traceback_and_raise(Exception(""Couldn't find any available network.""))
     63 
     64 

~/.pyenv/versions/3.7.4/envs/openmined-pysyft/lib/python3.7/site-packages/syft/logger.py in traceback_and_raise(e, verbose)
     59     if not issubclass(type(e), Exception):
     60         e = Exception(e)
---> 61     raise e
     62 
     63 

Exception: Couldn't find any available network.
```

## How to Reproduce
1. Install pysyft==0.5.0 in pyenv
2. open a new notebook in vscode and run a cell with `import syft as sy; duet = sy.duet(loopback=True)`
3. restart the kernel and repeat step 2
4. duet is not totally initiated

## Expected Behavior
It should listen for connection and connect when a data scientist joins the duet.

## System Information
 - OS: MacOS Big Sur 
 - OS Version: 11.6
 - Language Version: Python 3.7.4
 - Package Manager Version: pyenv 1.2.21
 - PySyft Version: 0.5.0
 - DevTool: Version: 1.62.3
Commit: ccbaa2d27e38e5afa3e5c21c1c7bef4657064247
Date: 2021-11-17T07:59:13.865Z
Electron: 13.5.2
Chrome: 91.0.4472.164
Node.js: 14.16.0
V8: 9.1.269.39-electron.0
OS: Darwin x64 20.6.0 

## Additional Context
Uninstalling and reinstalling the new virtualenv the behaviour is the same.Hi! Have you figured out how to solve this? I also met this problem.Unfortunately not. It works running the same code on colab though (just removing loopback=True).Thanks! Actually, I tried one day later the same code and the error was gone lol...We had some small issue and the Signalling server was rebooted and it is now working again. There is also a maintenance release of syft 0.5 which allows newer Torch which should fix issues with Apple Silicon.",4,2022-02-08 10:39:31,2022-06-08 06:10:58,2022-06-08 06:10:57
