url,additions,deletions,total,changed_files,hunks,functions,hunks_dict
https://github.com/Barjak/Torch-NBody/commit/e286eca69973d0d754a166dd976348b31acfcf6b#diff-81168cca1e62fdeba3218b2b67612e7aR218,15,15,30,1,15,"{'num': 2, 'function': {'cudasim.py': ['main', '__init__']}}","{'add': {1: 11, 2: 2}, 'del': {1: 13, 2: 1}}"
https://github.com/concordiaca/3D-ResNets-PyTorch/commit/0f8fb2e8700939a3598cb27c0b0f9a9a6d49813c,69,41,110,4,15,"{'num': 5, 'function': {'main.py': [], 'model.py': ['generate_model'], 'opts.py': ['parse_opts'], 'spatial_transforms.py': ['randomize_parameters', '__call__']}}","{'add': {1: 8, 2: 4, 3: 1, 51: 1}, 'del': {1: 7, 2: 1, 10: 1, 9: 1, 13: 1}}"
https://github.com/github-pengge/PyTorch-progressive_growing_of_gans/commit/9f79b640695958abbf49fa27734b056c867deb21#diff-8cd91ab445fec3ef5cac6d9b1fe48d6fR65,6,6,12,2,4,"{'num': 2, 'function': {'train.py': ['create_criterion'], 'train_no_tanh.py': ['create_criterion']}}","{'add': {2: 2, 1: 2}, 'del': {2: 2, 1: 2}}"
https://github.com/lacozhang/torchcode/commit/26c5a360c49d9467a18f7341474ced015d8995f4#diff-b3713708db0e812e4a9e391e268819dfR240,2,2,4,1,2,"{'num': 2, 'function': {'ptb_code/embed.py': ['_build_rnn_graph_lstm', '__init__']}}","{'add': {1: 2}, 'del': {1: 2}}"
https://github.com/AutuanLiu/PyTorch-ML/commit/dcf0fb6d6a87234da11ac947e2613d17f2447db4,3,3,6,2,3,"{'num': 1, 'function': {'models/BaseNet_class.py': ['train_m']}}","{'add': {1: 1, 2: 1}, 'del': {1: 3}}"
https://github.com/estebandito22/PyTorchAVITM/commit/b394c2deddfac2f407f73059f936657532d5fc99#diff-97bc73a7dcf660f17bcec7bd8b9a7a90R22,128,121,249,5,70,"{'num': 8, 'function': {'avitm/avitm.py': ['fit', '__init__', '_train_epoch'], 'avitm/decoder_network.py': ['__init__'], 'avitm/inference_network.py': ['__init__', 'forward'], 'datasets/newsgroup.py': ['__init__'], 'train.py': []}}","{'add': {1: 36, 3: 6, 2: 14, 8: 1, 32: 1, 11: 1, 6: 1, 20: 1}, 'del': {3: 3, 1: 32, 2: 11, 5: 3, 11: 1, 26: 1, 10: 1, 4: 3}}"
https://github.com/zhanghang1989/PyTorch-Encoding/commit/c2cb2aab69d5d276fbcb847fb8277c1a52947661#diff-3d16860a5877fef7579f328437574952R97,6,6,12,5,7,"{'num': 5, 'function': {'encoding/__init__.py': [], 'encoding/datasets/cityscapes.py': ['_sync_transform'], 'encoding/models/model_store.py': [], 'experiments/segmentation/option.py': ['parse'], 'setup.py': []}}","{'add': {1: 7}, 'del': {1: 6}}"
https://github.com/ronamit/Meta_PyTorch/commit/a0ae4d069c54d5c7b4deb8c3d870bb4c81e6aad4#diff-c257c4c1091332e58af761f0aaed5751R31,9,9,18,1,9,"{'num': 1, 'function': {'Stochsastic_Meta_Learning/main_Meta_Bayes_Omni.py': []}}","{'add': {1: 9}, 'del': {1: 9}}"
https://github.com/coderalo/QACNN-PyTorch/commit/45979c90a8a767b61fc6da0bb6681e675ec2f1d3,1,4,5,1,1,"{'num': 1, 'function': {'src/preprocess.py': ['file_preprocess']}}","{'add': {1: 1}, 'del': {4: 1}}"
https://github.com/je-nunez/testing_Torch/commit/3016d3139f2343faefc161c7306dbfb6b075b4ae,9,6,15,1,5,"{'num': 2, 'function': {'train-a-rgb-classifier/tc_nn.py': ['generate_flash_cards', 'create_nn_model']}}","{'add': {3: 2, 1: 3}, 'del': {1: 4, 2: 1}}"
