url,additions,deletions,total,changed_files,hunks,functions,hunks_dict
https://github.com/OpenMined/PySyft/pull/3522,7,1,8,1,3,"{'num': 1, 'function': {'syft/execution/role.py': ['__init__']}}","{'add': {1: 1, 2: 1, 4: 1}, 'del': {1: 1}}"
https://github.com/OpenMined/PySyft/pull/3350,67,4,71,4,8,"{'num': 6, 'function': {'syft/frameworks/torch/tensors/interpreters/additive_shared.py': ['relu', 'handle_func_command', 'torch'], 'syft/frameworks/torch/mpc/securenn.py': ['maxpool2d'], 'syft/frameworks/torch/nn/__init__.py': ['nn'], 'syft/frameworks/torch/nn/functional.py': ['conv2d']}}","{'add': {1: 4, 2: 1, 53: 1, 5: 1, 3: 1}, 'del': {1: 4}}"
https://github.com/OpenMined/PySyft/pull/3271,3,3,6,1,3,"{'num': 8, 'function': {'syft/frameworks/torch/tensors/interpreters/native.py': ['combine', 'handle_func_command', 'allow', 'get_', 'send', 'get', 'share', 'fix_prec']}}","{'add': {1: 3}, 'del': {1: 3}}"
https://github.com/OpenMined/PySyft/pull/3285,9,3,12,2,6,"{'num': 3, 'function': {'syft/generic/frameworks/hook/hook_args.py': ['build_rule', 'build_unwrap_args_with_rules'], 'syft/generic/frameworks/overload.py': ['overload_function']}}","{'add': {1: 4, 2: 1, 3: 1}, 'del': {1: 3}}"
https://github.com/OpenMined/PySyft/commit/e4b5cab232910968036f8bac1d499b19356de41c,56,12,68,5,6,"{'num': 4, 'function': {'syft/frameworks/torch/tensors/interpreters/autograd.py': ['__getattribute__'], 'syft/frameworks/torch/tensors/interpreters/gradients.py': ['gradient'], 'syft/frameworks/torch/tensors/interpreters/gradients_core.py': ['__init__'], 'syft/workers/base.py': ['recv_msg']}}","{'add': {8: 1, 1: 2, 5: 1, 42: 1}, 'del': {1: 4, 8: 1}}"
https://github.com/OpenMined/PySyft/pull/3256,1,3,4,1,2,"{'num': 1, 'function': {'syft/execution/placeholder.py': ['instantiate']}}","{'add': {1: 1}, 'del': {1: 1, 2: 1}}"
https://github.com/OpenMined/PySyft/pull/3205,88,32,120,1,11,"{'num': 4, 'function': {'syft/frameworks/torch/tensors/interpreters/precision.py': ['exp', '_sigmoid_chebyshev', '_tanh_chebyshev', 'log']}}","{'add': {4: 1, 5: 2, 9: 1, 2: 2, 27: 1, 31: 1, 1: 3}, 'del': {1: 3, 17: 1, 7: 1, 5: 1}}"
https://github.com/OpenMined/PySyft/pull/3148,76,40,116,1,36,"{'num': 11, 'function': {'syft/frameworks/torch/mpc/securenn.py': ['relu_deriv', 'relu', 'maxpool2d', 'maxpool', 'private_compare', 'flip', 'share_convert', 'maxpool_deriv', 'msb', 'select_share', 'division']}}","{'add': {2: 5, 1: 26, 3: 3, 25: 1, 6: 1}, 'del': {1: 26, 2: 4, 3: 2}}"
https://github.com/OpenMined/PySyft/pull/2548,13,3,16,1,6,"{'num': 3, 'function': {'syft/frameworks/torch/tensors/interpreters/native.py': ['send', 'get', 'share']}}","{'add': {1: 5, 8: 1}, 'del': {1: 3}}"
https://github.com/OpenMined/PySyft/pull/2407,4,1,5,1,1,"{'num': 1, 'function': {'syft/frameworks/torch/federated/dataloader.py': ['__init__']}}","{'add': {4: 1}, 'del': {1: 1}}"
https://github.com/OpenMined/PySyft/pull/2395,2,2,4,1,2,"{'num': 1, 'function': {'syft/workers/websocket_client.py': ['fit']}}","{'add': {1: 2}, 'del': {2: 1}}"
https://github.com/OpenMined/PySyft/pull/2358,60,1,61,3,4,"{'num': 15, 'function': {'syft/frameworks/torch/tensors/interpreters/multi_pointer.py': ['__add__', '__mul__', 'dim', 'handle_func_command', 'grad'], 'syft/frameworks/torch/tensors/interpreters/autograd.py': ['__getattribute__', 'detail', 'torch', '__pow__', 'float_precision', 'simplify', 'handle_func_command'], 'syft/serde/serde.py': ['_compress', '_decompress', 'deserialize']}}","{'add': {57: 1, 2: 1, 1: 1}, 'del': {1: 1}}"
https://github.com/OpenMined/PySyft/pull/2339,1,1,2,1,1,"{'num': 1, 'function': {'syft/workers/base.py': ['clear_objects']}}","{'add': {1: 1}, 'del': {1: 1}}"
https://github.com/OpenMined/PySyft/pull/2219,69,27,96,4,17,"{'num': 10, 'function': {'syft/serde.py': ['_detail_worker', '_detail_exception', '_detail', '_detail_object_wrapper', '_detail_GetNotPermittedError', '_simplify_exception'], 'syft/workers/websocket_server.py': ['_recv_msg', '_producer_handler'], 'syft/exceptions.py': ['__init__'], 'syft/workers/base.py': ['respond_to_obj_req']}}","{'add': {6: 2, 3: 3, 1: 6, 38: 1, 2: 2}, 'del': {20: 1, 1: 5, 2: 1}}"
https://github.com/OpenMined/PySyft/pull/2048,4,4,8,3,4,"{'num': 3, 'function': {'syft/exceptions.py': [], 'syft/frameworks/torch/hook_args.py': [], 'syft/frameworks/torch/torch_attributes.py': ['__init__']}}","{'add': {1: 4}, 'del': {2: 1, 1: 2}}"
https://github.com/OpenMined/PySyft/pull/2022,21,11,32,1,3,"{'num': 1, 'function': {'syft/workers/base.py': ['__init__']}}","{'add': {1: 1, 20: 1}, 'del': {11: 1}}"
https://github.com/OpenMined/PySyft/pull/1982,5,0,5,1,3,"{'num': 1, 'function': {'syft/frameworks/torch/federated/dataloader.py': ['__init__']}}","{'add': {1: 2, 3: 1}, 'del': {}}"
https://github.com/OpenMined/PySyft/pull/1646,5,2,7,1,3,"{'num': 3, 'function': {'syft/core/workers/base.py': ['set_obj', 'receive_msg', 'process_message_type']}}","{'add': {1: 2, 3: 1}, 'del': {1: 2}}"
https://github.com/OpenMined/PySyft/pull/1545,246,21,267,5,24,"{'num': 19, 'function': {'syft/core/frameworks/torch/__init__.py': [], 'syft/core/frameworks/torch/tensor.py': ['__mul__', '__init__', 'fix_precision', 'public_add_', 'get_shape', 'deser', 'handle_call', 'native_get_shape', '__add__', 'ser', 'share', 'get', '__repr__'], 'syft/mpc/spdz.py': [], 'syft/core/frameworks/torch/hook.py': ['_get_overloaded_method'], 'syft/core/frameworks/torch/utils.py': ['fix_chain_ends', 'assert_is_chain_well_formed', 'find_tail_of_chain']}}","{'add': {4: 3, 1: 5, 3: 2, 9: 1, 31: 1, 18: 1, 10: 1, 37: 2, 2: 3, 6: 2, 34: 1, 24: 1, 5: 1}, 'del': {1: 5, 10: 1, 6: 1}}"
https://github.com/OpenMined/PySyft/pull/1395,179,119,298,3,24,"{'num': 16, 'function': {'syft/core/hooks/torch/hook.py': ['_execute_remote_call', '_assemble_result_pointer', '_get_overload_method_in_tensor_or_var', '_get_overload_function_in_torch_module', '_compile_command'], 'syft/core/utils.py': ['python_encode', 'custom_obj_hook', 'encode', '__init__'], 'syft/core/workers/base.py': ['handle_command', 'get_obj', '_retrieve_tensor', '_is_command_valid_guard', 'process_command', 'receive_msg', '_check_workers']}}","{'add': {2: 2, 1: 5, 30: 1, 3: 2, 118: 1, 4: 2, 8: 1}, 'del': {1: 9, 5: 1, 2: 3, 18: 1, 29: 1, 3: 1, 20: 1, 4: 2, 10: 1, 11: 1}}"
https://github.com/OpenMined/PySyft/pull/1315,1,0,1,1,1,"{'num': 1, 'function': {'syft/tensor/int_tensor.py': []}}","{'add': {1: 1}, 'del': {}}"
https://github.com/OpenMined/PySyft/pull/394,20,127,147,3,24,"{'num': 8, 'function': {'syft/he/paillier/__init__.py': [], 'syft/he/paillier/basic.py': ['sum', '__truediv__', '__mul__', '__add__'], 'syft/he/paillier/keys.py': ['generate', 'encrypt', 'deserialize']}}","{'add': {1: 18, 2: 1}, 'del': {1: 19, 3: 1, 5: 1, 2: 1, 9: 1, 89: 1}}"
https://github.com/OpenMined/PySyft/pull/269,6,0,6,1,1,"{'num': 1, 'function': {'syft/tensor.py': ['abs_']}}","{'add': {6: 1}, 'del': {}}"
https://github.com/FederatedAI/FATE/pull/2741,18,3,21,2,5,"{'num': 5, 'function': {'python/federatedml/feature/one_hot_encoder.py': ['add_value', 'transfer_one_instance', 'load_model', '__init__'], 'python/federatedml/feature/homo_onehot/homo_ohe_base.py': ['fit']}}","{'add': {1: 2, 9: 1, 2: 1, 5: 1}, 'del': {1: 3}}"
https://github.com/FederatedAI/FATE/pull/1419,6,9,15,2,15,"{'num': 4, 'function': {'federatedml/nn/backend/pytorch/nn_model.py': ['evaluate', 'predict', '__init__'], 'federatedml/nn/homo_nn/enter_point.py': ['predict']}}","{'add': {1: 2, 2: 2}, 'del': {2: 1, 1: 5, 3: 1}}"
https://github.com/FederatedAI/FATE/commit/c10906e64a44e1740ad6bd333530c8e5a711cacb,6,1,7,2,2,"{'num': 1, 'function': {'federatedml/model_selection/stepwise/hetero_stepwise.py': ['record_step_best']}}","{'add': {5: 1, 1: 1}, 'del': {1: 1}}"
https://github.com/FederatedAI/FATE/pull/1062,1,1,2,1,1,"{'num': 1, 'function': {'federatedml/nn/homo_nn/enter_point.py': []}}","{'add': {1: 1}, 'del': {1: 1}}"
https://github.com/FederatedAI/FATE/pull/1010,99,84,183,5,34,"{'num': 9, 'function': {'federatedml/tree/feature_histogram.py': ['recombine_histograms', 'calculate_histogram', '__init__'], 'federatedml/tree/hetero_decision_tree_guest.py': ['sync_encrypted_splitinfo_host', 'find_host_split'], 'federatedml/tree/hetero_decision_tree_host.py': ['fit'], 'federatedml/tree/splitter.py': ['find_split', 'find_split_single_histogram_host'], 'federatedml/util/consts.py': []}}","{'add': {1: 15, 5: 1, 10: 1, 2: 8, 18: 1, 6: 2, 4: 3, 11: 1}, 'del': {1: 12, 3: 4, 2: 6, 10: 1, 4: 4, 7: 1, 15: 1}}"
https://github.com/FederatedAI/FATE/pull/647,5,4,9,1,5,"{'num': 3, 'function': {'federatedml/util/validation_strategy.py': ['need_run_validation', 'validate', 'evaluate_data']}}","{'add': {2: 1, 1: 3}, 'del': {2: 1, 1: 2}}"
https://github.com/FederatedAI/FATE/pull/541,3,3,6,2,3,"{'num': 2, 'function': {'federatedml/model_base.py': ['_run_data'], 'federatedml/model_selection/KFold.py': ['_synchronize_data']}}","{'add': {1: 3}, 'del': {1: 3}}"
https://github.com/FederatedAI/FATE/pull/171,14,0,14,1,3,"{'num': 1, 'function': {'federatedml/one_vs_rest/one_vs_rest.py': ['evaluate']}}","{'add': {1: 2, 12: 1}, 'del': {}}"
https://github.com/tensorflow/federated/commit/8b769d83a57602507f622c4b973f07271f1d4ba6,23,64,87,3,19,"{'num': 5, 'function': {'tensorflow_federated/python/examples/simple_fedavg/emnist_fedavg_main.py': ['main', 'create_original_fedavg_cnn_model', 'client_optimizer_fn', 'get_emnist_dataset'], 'tensorflow_federated/python/examples/simple_fedavg/simple_fedavg_tf.py': ['client_update']}}","{'add': {3: 2, 1: 2, 9: 1, 2: 3}, 'del': {2: 2, 1: 11, 3: 1, 4: 1, 34: 1, 8: 1}}"
https://github.com/tensorflow/federated/commit/de97c52ca835b5557c0c1c9dbd768f742a2739f5,412,30,442,3,22,"{'num': 6, 'function': {'tensorflow_federated/python/simulation/datasets/file_per_user_client_data.py': ['create_tf_dataset_from_all_clients', '__init__'], 'tensorflow_federated/python/simulation/datasets/sql_client_data.py': ['create_tf_dataset_for_client', 'client_ids', 'element_type_structure', '__init__']}}","{'add': {1: 8, 2: 1, 5: 1, 3: 1, 21: 1, 31: 1, 96: 1, 8: 1, 98: 1, 13: 1, 29: 1, 19: 1, 22: 1, 59: 1}, 'del': {1: 7, 5: 1, 2: 4, 4: 1, 3: 2}}"
https://github.com/tensorflow/federated/commit/14235f416391f9724b2b6c89116c6217b87931e8,5,0,5,1,1,"{'num': 1, 'function': {'tensorflow_federated/python/learning/keras_utils.py': ['from_keras_model']}}","{'add': {5: 1}, 'del': {}}"
https://github.com/tensorflow/federated/commit/22c89fac4aa9e92e591a7de43e705773215986b2,7,5,12,1,3,"{'num': 1, 'function': {'tensorflow_federated/python/research/optimization/stackoverflow_lr/dataset.py': ['build_to_ids_fn']}}","{'add': {5: 1, 2: 1}, 'del': {1: 1, 2: 2}}"
https://github.com/tensorflow/federated/commit/5299226ee7c736c46d1d3def8c6726214f6f9cb0,15,0,15,1,1,"{'num': 1, 'function': {'tensorflow_federated/python/core/impl/eager_executor.py': ['embed_tensorflow_computation']}}","{'add': {15: 1}, 'del': {}}"
https://github.com/adap/flower/pull/802,59,6,65,5,7,"{'num': 4, 'function': {'src/py/flwr/server/strategy/__init__.py': [], 'src/py/flwr/server/strategy/qfedavg.py': ['aggregate_evaluate'], 'src/py/flwr_experimental/baseline/tf_fashion_mnist/server.py': ['main'], 'src/py/flwr_experimental/baseline/tf_hotkey/server.py': ['main']}}","{'add': {2: 3, 51: 1, 1: 2}, 'del': {1: 4, 2: 1}}"
https://github.com/adap/flower/pull/553,8,4,12,2,3,"{'num': 4, 'function': {'src/py/flwr/server/app.py': ['start_server'], 'src/py/flwr/server/server.py': ['disconnect_all_clients', 'fit_round', 'fit']}}","{'add': {3: 1, 5: 1}, 'del': {4: 1}}"
https://github.com/adap/flower/pull/449,162,38,200,9,44,"{'num': 12, 'function': {'src/py/flwr/client/app.py': ['start_client'], 'src/py/flwr/client/grpc_client/message_handler.py': ['_evaluate'], 'src/py/flwr/common/__init__.py': [], 'src/py/flwr/common/serde.py': ['parameters_from_proto'], 'src/py/flwr/common/typing.py': [], 'src/py/flwr/proto/transport_pb2.py': [], 'src/py/flwr/server/client_proxy.py': [], 'src/py/flwr/server/grpc_server/grpc_client_proxy.py': ['evaluate'], 'src/py/flwr/server/server.py': ['_get_initial_weights', 'fit_round', 'fit', 'reconnect_client']}}","{'add': {1: 24, 24: 1, 2: 5, 3: 4, 15: 1, 5: 2, 14: 1, 4: 2, 9: 2, 27: 1}, 'del': {8: 1, 1: 19, 3: 1, 2: 4}}"
https://github.com/bytedance/fedlearner/pull/422,38,20,58,2,8,"{'num': 2, 'function': {'example/mnist/follower.py': ['model_fn'], 'example/mnist/leader.py': ['model_fn']}}","{'add': {6: 1, 9: 1, 3: 1, 1: 2, 2: 2, 14: 1}, 'del': {8: 1, 1: 2, 10: 1}}"
https://github.com/OpenMined/PySyft/pull/4640,36,11,47,1,6,"{'num': 1, 'function': {'syft/grid/clients/data_centric_fl_client.py': ['__str__']}}","{'add': {1: 3, 12: 1, 21: 1}, 'del': {2: 3, 4: 1, 1: 1}}"
https://github.com/OpenMined/PySyft/pull/3705,3,0,3,1,1,"{'num': 1, 'function': {'syft/frameworks/crypten/context.py': ['run_multiworkers']}}","{'add': {3: 1}, 'del': {}}"
https://github.com/OpenMined/PySyft/pull/3680,7,2,9,1,3,"{'num': 2, 'function': {'syft/frameworks/torch/tensors/interpreters/additive_shared.py': ['ge', 'torch']}}","{'add': {1: 2, 5: 1}, 'del': {1: 2}}"
https://github.com/OpenMined/PySyft/pull/3679,9,4,13,1,4,"{'num': 3, 'function': {'syft/frameworks/torch/tensors/interpreters/additive_shared.py': ['calculateBits', 'modulo', '__init__']}}","{'add': {6: 1, 1: 3}, 'del': {1: 4}}"
https://github.com/OpenMined/PySyft/pull/3595,16,5,21,1,6,"{'num': 2, 'function': {'syft/execution/role_assignments.py': ['simplify', 'unassign']}}","{'add': {3: 1, 1: 3, 8: 1, 2: 1}, 'del': {1: 5}}"
https://github.com/OpenMined/PySyft/pull/3593,68,35,103,3,4,"{'num': 4, 'function': {'syft/grid/__init__.py': ['register'], 'syft/grid/network.py': ['connect'], 'syft/grid/nodes_manager.py': ['start_offer', '__getitem__']}}","{'add': {39: 1, 13: 2, 3: 1}, 'del': {35: 1}}"
https://github.com/OpenMined/PySyft/pull/3591,19,4,23,1,5,"{'num': 1, 'function': {'syft/grid/__init__.py': ['register']}}","{'add': {2: 1, 1: 2, 10: 1, 5: 1}, 'del': {1: 2, 2: 1}}"
https://github.com/OpenMined/PySyft/pull/3589,26,0,26,1,3,"{'num': 1, 'function': {'syft/grid/__init__.py': ['register']}}","{'add': {1: 1, 3: 1, 22: 1}, 'del': {}}"
https://github.com/OpenMined/PySyft/pull/3567,107,21,128,7,24,"{'num': 13, 'function': {'syft/execution/placeholder.py': ['create_placeholders'], 'syft/execution/plan.py': ['build', 'get_args_shape', 'code', '__init__', '__call__', 'unbufferize'], 'syft/execution/role.py': ['_execute_action'], 'syft/execution/translation/torchscript.py': ['translate'], 'syft/frameworks/torch/tensors/interpreters/autograd.py': ['torch'], 'syft/frameworks/torch/tensors/interpreters/gradients.py': ['gradient', '__init__'], 'syft/frameworks/torch/tensors/interpreters/gradients_core.py': []}}","{'add': {1: 10, 2: 4, 4: 2, 3: 2, 30: 1, 7: 1, 6: 1, 19: 1, 13: 1}, 'del': {1: 11, 2: 3, 4: 1}}"
https://github.com/OpenMined/PySyft/pull/3563,4,4,8,1,4,"{'num': 4, 'function': {'syft/grid/webrtc_connection.py': ['_send_msg', 'search', '_recv_msg', '__init__']}}","{'add': {1: 4}, 'del': {1: 4}}"
https://github.com/OpenMined/PySyft/pull/3560,5,5,10,7,6,"{'num': 3, 'function': {'syft/grid/__init__.py': [], 'syft/grid/network.py': [], 'syft/grid/nodes_manager.py': []}}","{'add': {1: 3, 2: 1}, 'del': {1: 3, 2: 1}}"
https://github.com/OpenMined/PySyft/pull/3525,0,2,2,1,1,"{'num': 1, 'function': {'syft/workers/base.py': ['__init__']}}","{'add': {}, 'del': {2: 1}}"
https://github.com/OpenMined/PySyft/pull/3511,2,0,2,1,1,"{'num': 1, 'function': {'syft/grid/abstract_grid.py': []}}","{'add': {2: 1}, 'del': {}}"
https://github.com/OpenMined/PySyft/pull/3473,9,9,18,1,7,"{'num': 3, 'function': {'syft/workers/base.py': ['recv_msg', 'execute_computation_action', '_get_msg']}}","{'add': {4: 1, 1: 5}, 'del': {5: 1, 1: 4}}"
https://github.com/OpenMined/PySyft/pull/3405,5,5,10,2,4,"{'num': 2, 'function': {'syft/execution/plan.py': ['unbufferize'], 'syft/execution/translation/torchscript.py': ['remove']}}","{'add': {1: 1, 4: 1}, 'del': {1: 1, 4: 1}}"
https://github.com/OpenMined/PySyft/pull/3396,2,2,4,1,2,"{'num': 2, 'function': {'syft/frameworks/torch/tensors/interpreters/additive_shared.py': ['simplify', 'detail']}}","{'add': {1: 2}, 'del': {1: 2}}"
https://github.com/OpenMined/PySyft/pull/3376,12,17,29,1,10,"{'num': 2, 'function': {'syft/execution/translation/torchscript.py': ['__init__', 'translate']}}","{'add': {2: 2, 1: 8}, 'del': {1: 7, 5: 1, 3: 1, 2: 1}}"
https://github.com/OpenMined/PySyft/pull/3327,1,6,7,1,1,"{'num': 2, 'function': {'syft/frameworks/torch/hook/hook.py': ['_hook_optim', '_get_hooked_additive_shared_method']}}","{'add': {1: 1}, 'del': {6: 1}}"
https://github.com/OpenMined/PySyft/pull/3199,9,0,9,1,3,"{'num': 2, 'function': {'syft/execution/plan.py': ['add_placeholder', 'build']}}","{'add': {3: 3}, 'del': {}}"
https://github.com/OpenMined/PySyft/pull/3067,0,8,8,1,1,"{'num': 1, 'function': {'syft/generic/pointers/pointer_tensor.py': ['detail']}}","{'add': {}, 'del': {8: 1}}"
https://github.com/OpenMined/PySyft/pull/2749,1,1,2,1,1,"{'num': 1, 'function': {'docker-images/pysyft-worker/worker-server.py': []}}","{'add': {1: 1}, 'del': {1: 1}}"
https://github.com/OpenMined/PySyft/pull/2733,6,6,12,2,5,"{'num': 3, 'function': {'syft/exceptions.py': ['simplify', 'get_attributes'], 'syft/workers/base.py': ['serializer']}}","{'add': {1: 4, 2: 1}, 'del': {1: 4, 2: 1}}"
https://github.com/OpenMined/PySyft/pull/2543,1,1,2,1,1,"{'num': 1, 'function': {'syft/frameworks/torch/crypto/spdz.py': ['spdz_mul']}}","{'add': {1: 1}, 'del': {1: 1}}"
https://github.com/OpenMined/PySyft/pull/2437,1,1,2,1,1,"{'num': 7, 'function': {'syft/workers/base.py': ['send', 'create_message_execute_command', 'recv_msg', '__getitem__', '__str__', 'execute_command', 'send_msg']}}","{'add': {1: 1}, 'del': {1: 1}}"
https://github.com/OpenMined/PySyft/pull/2431,4,0,4,1,1,"{'num': 1, 'function': {'syft/workers/base.py': ['__init__']}}","{'add': {4: 1}, 'del': {}}"
https://github.com/OpenMined/PySyft/pull/2328,4,4,8,1,3,"{'num': 1, 'function': {'syft/exceptions.py': ['__init__']}}","{'add': {2: 1, 1: 2}, 'del': {2: 1, 1: 2}}"
https://github.com/OpenMined/PySyft/pull/2262,13,8,21,1,5,"{'num': 4, 'function': {'syft/frameworks/torch/hook/hook_args.py': ['hook_method_args', 'hook_function_args', 'hook_response', 'register_response']}}","{'add': {6: 1, 1: 3, 4: 1}, 'del': {4: 1, 1: 4}}"
https://github.com/OpenMined/PySyft/pull/2254,11,10,21,1,9,"{'num': 1, 'function': {'syft/workers/tfe.py': ['start']}}","{'add': {1: 8, 3: 1}, 'del': {1: 2, 4: 1, 2: 2}}"
https://github.com/OpenMined/PySyft/pull/2239,9,0,9,1,1,"{'num': 1, 'function': {'syft/frameworks/torch/pointers/pointer_tensor.py': []}}","{'add': {9: 1}, 'del': {}}"
https://github.com/OpenMined/PySyft/pull/2102,1,1,2,1,1,"{'num': 1, 'function': {'syft/frameworks/torch/federated/dataset.py': []}}","{'add': {1: 1}, 'del': {1: 1}}"
https://github.com/OpenMined/PySyft/pull/2050,18,87,105,5,18,"{'num': 9, 'function': {'syft/__init__.py': [], 'syft/serde.py': ['_detail_plan'], 'syft/workers/__init__.py': [], 'syft/workers/base.py': ['search', 'send'], 'syft/workers/plan.py': ['send', 'request_execute_plan', '_send', 'method2plan']}}","{'add': {1: 6, 6: 1, 2: 3}, 'del': {1: 11, 48: 1, 4: 1, 2: 3, 8: 1, 10: 1}}"
https://github.com/OpenMined/PySyft/pull/1792,4,3,7,1,4,"{'num': 1, 'function': {'docs/conf.py': []}}","{'add': {1: 2, 2: 1}, 'del': {1: 1, 2: 1}}"
https://github.com/OpenMined/PySyft/pull/1736,34,50,84,4,20,"{'num': 12, 'function': {'syft/core/workers/base.py': ['_search', 'process_message_type'], 'syft/core/workers/socket.py': ['search'], 'syft/core/frameworks/torch/hook.py': ['_hook_module', '_add_registration_to___init__', '_hook_properties', '_hook_native_tensors_and_variables', '_hook_backward', '_assign_methods_to_use_child'], 'syft/core/frameworks/torch/tensor.py': ['send', 'truncate', 'ser']}}","{'add': {2: 4, 1: 11, 3: 2, 4: 1, 5: 1}, 'del': {1: 13, 2: 4, 15: 1, 10: 1, 4: 1}}"
https://github.com/OpenMined/PySyft/pull/1728,8,6,14,2,5,"{'num': 2, 'function': {'syft/core/frameworks/torch/hook.py': ['_hook_module'], 'syft/core/frameworks/torch/tensor.py': ['send']}}","{'add': {1: 4, 4: 1}, 'del': {1: 4, 2: 1}}"
https://github.com/OpenMined/PySyft/pull/1643,1,1,2,1,1,"{'num': 1, 'function': {'syft/core/frameworks/__init__.py': []}}","{'add': {1: 1}, 'del': {1: 1}}"
https://github.com/OpenMined/PySyft/pull/1612,85,88,173,2,25,"{'num': 18, 'function': {'syft/core/frameworks/torch/tensor.py': ['decode', '__add__', '__sub__', '__rsub__', '__mul__', '__lt__', '__ge__', '__le__', '__eq__', '__div__', 'cumsum', '__mul__'], 'syft/spdz/spdz.py': ['encode', 'truncate', 'spdz_add', 'spdz_neg', 'spdz_mul', 'spdz_matmul']}}","{'add': {2: 5, 1: 10, 8: 5, 13: 1, 4: 1, 5: 1, 3: 1}, 'del': {2: 6, 1: 11, 8: 5, 18: 1, 4: 1, 3: 1}}"
https://github.com/OpenMined/PySyft/pull/740,2,2,4,1,2,"{'num': 1, 'function': {'syft/optim.py': []}}","{'add': {1: 2}, 'del': {1: 2}}"
https://github.com/OpenMined/PySyft/pull/314,1,1,2,1,1,"{'num': 2, 'function': {'syft/tensor.py': ['equal', '__getitem__']}}","{'add': {1: 1}, 'del': {1: 1}}"
