framework,url,created_time,closed_time,lifecycle
PySyft,https://github.com/OpenMined/PySyft/issues/6611,2022-06-23 15:01:20,2022-06-24 01:24:48,10:23:28
PySyft,https://github.com/OpenMined/PySyft/issues/6418,2022-04-22 08:39:28,2022-04-30 00:12:12,"7 days, 15:32:44"
PySyft,https://github.com/OpenMined/PySyft/issues/6401,2022-04-11 06:47:57,2022-06-08 06:38:05,"57 days, 23:50:08"
PySyft,https://github.com/OpenMined/PySyft/issues/6389,2022-04-02 09:43:02,2022-06-10 06:37:53,"68 days, 20:54:51"
PySyft,https://github.com/OpenMined/PySyft/issues/6355,2022-03-14 05:07:09,2022-06-08 06:30:59,"86 days, 1:23:50"
PySyft,https://github.com/OpenMined/PySyft/issues/6215,2021-12-01 11:37:34,2021-12-03 16:45:08,"2 days, 5:07:34"
PySyft,https://github.com/OpenMined/PySyft/issues/5797,2021-07-19 07:34:19,2022-06-08 05:51:45,"323 days, 22:17:26"
PySyft,https://github.com/OpenMined/PySyft/issues/5772,2021-07-13 01:12:14,2022-06-08 05:48:09,"330 days, 4:35:55"
PySyft,https://github.com/OpenMined/PySyft/issues/5627,2021-06-01 15:14:16,2022-06-08 05:36:30,"371 days, 14:22:14"
PySyft,https://github.com/OpenMined/PySyft/issues/5608,2021-05-27 12:59:37,2021-05-28 09:32:25,20:32:48
PySyft,https://github.com/OpenMined/PySyft/issues/5530,2021-05-02 13:14:48,2021-06-01 11:01:43,"29 days, 21:46:55"
PySyft,https://github.com/OpenMined/PySyft/issues/5507,2021-04-24 23:38:20,2021-05-02 13:19:00,"7 days, 13:40:40"
PySyft,https://github.com/OpenMined/PySyft/issues/5132,2021-02-09 15:47:25,2021-04-21 09:21:39,"70 days, 17:34:14"
PySyft,https://github.com/OpenMined/PySyft/issues/5080,2021-02-01 07:03:54,2021-04-21 07:51:47,"79 days, 0:47:53"
PySyft,https://github.com/OpenMined/PySyft/issues/4961,2020-12-29 19:42:59,2021-04-07 18:40:29,"98 days, 22:57:30"
PySyft,https://github.com/OpenMined/PySyft/issues/4917,2020-12-16 04:11:59,2021-04-21 09:21:09,"126 days, 5:09:10"
PySyft,https://github.com/OpenMined/PySyft/issues/4745,2020-10-28 20:59:09,2021-01-22 05:39:45,"85 days, 8:40:36"
PySyft,https://github.com/OpenMined/PySyft/issues/4495,2020-08-28 08:57:33,2020-11-19 13:30:13,"83 days, 4:32:40"
